t,x,y,z
1782661518.627,0.78632,-0.00501,0.07152
1782661518.661,0.79307,-0.00712,0.07365
1782661518.727,0.80598,-0.00669,0.07398
1782661518.761,0.80598,-0.00669,0.07398
1782661518.794,0.81719,-0.00583,0.07421
1782661518.827,0.81719,-0.00583,0.07421
1782661518.861,0.82958,-0.00677,0.07620
1782661518.894,0.82958,-0.00677,0.07620
1782661518.927,0.84504,-0.00905,0.07688
1782661518.961,0.84504,-0.00905,0.07688
1782661518.994,0.85375,-0.00310,0.07509
1782661519.027,0.86224,-0.00618,0.07905
1782661519.061,0.86224,-0.00618,0.07905
1782661519.094,0.87416,-0.00488,0.08106
1782661519.128,0.87416,-0.00488,0.08106
1782661519.161,0.88629,-0.00379,0.08158
1782661519.194,0.89307,-0.00331,0.08222
1782661519.228,0.90078,-0.00499,0.08776
1782661519.261,0.90514,-0.00210,0.08564
1782661519.328,0.91716,-0.00262,0.08588
1782661519.361,0.92314,-0.00309,0.08557
1782661519.428,0.93467,-0.00348,0.08817
1782661519.461,0.94061,-0.00458,0.08957
1782661519.494,0.94668,-0.00578,0.09061
1782661519.528,0.94668,-0.00578,0.09061
1782661519.561,0.95707,-0.00445,0.09031
1782661519.594,0.96181,-0.00348,0.09192
1782661519.628,0.96181,-0.00348,0.09192
1782661519.694,0.97414,0.00097,0.09246
1782661519.728,0.97890,0.00168,0.09224
1782661519.761,0.98278,0.00303,0.09187
1782661519.794,0.99141,-0.00109,0.09347
1782661519.861,0.99977,0.00236,0.09351
1782661519.961,1.01542,0.00149,0.09454
1782661520.028,1.03840,-0.01258,0.09048
1782661520.061,1.04053,-0.00775,0.09095
1782661520.095,1.04791,-0.00885,0.08946
1782661520.128,1.05115,-0.00568,0.09101
1782661520.161,1.05670,-0.00406,0.09419
1782661520.228,1.07173,-0.00636,0.09244
1782661520.261,1.08196,-0.01033,0.09157
1782661520.295,1.08895,-0.01127,0.09223
1782661520.328,1.09678,-0.01092,0.09230
1782661520.361,1.10044,-0.00795,0.09296
1782661520.395,1.10342,-0.00334,0.09581
1782661520.428,1.11440,-0.00647,0.09516
1782661520.461,1.11913,-0.00482,0.09833
1782661520.495,1.12837,-0.00694,0.09859
1782661520.528,1.13353,-0.00579,0.09623
1782661520.561,1.14136,-0.00835,0.09676
1782661520.628,1.15650,-0.01015,0.09678
1782661520.695,1.16765,-0.00752,0.10094
1782661520.728,1.17783,-0.01297,0.09756
1782661520.762,1.17838,-0.00570,0.09864
1782661520.795,1.17139,0.01094,0.10176
1782661520.828,1.16746,0.02315,0.10192
1782661520.862,1.17591,0.02143,0.10489
1782661520.962,1.19295,0.02299,0.10918
1782661520.995,1.19483,0.02902,0.10889
1782661521.028,1.19980,0.03035,0.10849
1782661521.062,1.20529,0.03085,0.10917
1782661521.095,1.21308,0.02709,0.10764
1782661521.128,1.22078,0.02439,0.11009
1782661521.162,1.22556,0.02558,0.10879
1782661521.195,1.22873,0.02828,0.10901
1782661521.228,1.23059,0.03344,0.10989
1782661521.262,1.23619,0.03254,0.10745
1782661521.329,1.24401,0.03384,0.10868
1782661521.362,1.24847,0.03519,0.10689
1782661521.395,1.25319,0.03382,0.10871
1782661521.496,1.25312,0.05643,0.12393
1782661521.529,1.25932,0.05494,0.12530
1782661521.562,1.25932,0.05494,0.12530
1782661521.596,1.27067,0.05415,0.12523
1782661521.629,1.27067,0.05415,0.12523
1782661521.663,1.28832,0.04627,0.12415
1782661521.696,1.29280,0.04689,0.13505
1782661521.729,1.29666,0.05023,0.13649
1782661521.763,1.30385,0.04764,0.13787
1782661521.796,1.30831,0.04920,0.13841
1782661521.830,1.31387,0.05062,0.13572
1782661521.863,1.32273,0.04572,0.13840
1782661521.896,1.33367,0.04043,0.12860
1782661521.963,1.35630,0.02291,0.12306
1782661522.030,1.36846,0.02315,0.12465
1782661522.063,1.36436,0.04115,0.12569
1782661522.097,1.37196,0.03960,0.12697
1782661522.130,1.37691,0.04167,0.12564
1782661522.164,1.38104,0.04534,0.12580
1782661522.197,1.39137,0.03913,0.12574
1782661522.230,1.39880,0.03845,0.12343
1782661522.264,1.40188,0.04349,0.12579
1782661522.297,1.40917,0.04261,0.12276
1782661522.330,1.41414,0.04573,0.12456
